,ID,Name,Zip,Lat,Long,Rating,Delivery,Price Tier,Price,Credit Cards,Outdoor Seating,Reservations,Brunch,Dinner,Lunch,Beer,Breakfast,Music,Happy Hour,Full Bar,Cocktails,Dessert,Wi-Fi,Wine,Jukebox,Public Lot,Restroom,Wheelchair Accessible,TVs,No,BYO,Take-out,Street Parking,Private Lot,Live Music,Valet Parking,Private Room,ATM,Tasting Menu
0,59666a2164c8e166fd70c996,Bar Amis,19112,39.89662491763111,-75.17551254494923,8.5,False,2.0,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5812976e38fabbd0109df490,Shake Shack,19112,39.90125,-75.171985,7.5,False,1.0,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5126439be8895a09e35c4290,Tony Luke's,19112,39.90130858574735,-75.17201900482178,7.2,False,1.0,$,Yes (incl. American Express),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4bc209d874a9a5933f9cd2f6,Chickie's & Pete's,19112,39.90119580515075,-75.17185748757643,6.8,False,1.0,$,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4b5c5724f964a520a02b29e3,Cadillac Grille,19112,39.90172528909823,-75.17212480404326,6.9,False,3.0,$$$,Yes,No,Yes,Brunch,Dinner,,,,,,,,,,,,,,,,,,,,,,,,,
5,555dd4bd498e7ac834ebbef9,Mercer Cafe at The Navy Yard,19112,39.89017935015437,-75.1772538387765,6.9,True,1.0,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4bc4fa5be58e95216447c9e1,CURE Insurance Club,19112,39.901341878934595,-75.17100487506127,6.7,False,2.0,$$,Yes,Yes,Yes,Brunch,Dinner,Lunch,Beer,,,,,,,,,,,,,,,,,,,,,,,
7,4b12d462f964a520fe8e23e3,Chickie's & Pete's,19112,39.90071597768347,-75.16751289367676,7.2,False,1.0,$,Yes,No,,Brunch,Dinner,Lunch,,,,,,,,,,,,,,,,,,,,,,,,
8,5125af9e39507c01fc10be78,Tony Luke's,19112,39.900995821018974,-75.16727685928345,7.2,False,1.0,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4f752e63e4b0b8451ccc664b,Chickie's & Pete's,19112,39.90431510051693,-75.16936107141642,6.9,False,1.0,$,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,5ca15f45e1f0aa002cefb5cc,Shake Shack,19112,39.904797,-75.167145,8.1,False,1.0,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,4c3c93e57d002d7f5e9bae18,Tastycake Factory,19112,39.89879780906343,-75.19496756317179,6.6,False,1.0,$,No,No,,Brunch,,Lunch,,Breakfast,,,,,,,,,,,,,,,,,,,,,,
12,51562457e4b0fa0f8170b23e,Federal Donuts,19112,39.906360125016064,-75.16770498124629,8.2,False,1.0,$,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4bcf83beb221c9b63935d2d0,Bull's BBQ,19112,39.90678544847841,-75.16770057933881,8.1,False,2.0,$$,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4bf95a388d30d13aac080218,Harry the K's Broadcast Bar & Grille,19112,39.90647722766655,-75.16704082489014,6.7,False,2.0,$$,Yes (incl. Discover & Visa),Yes,Yes,,,,Beer,,,,,,,,,,,,,,,,,,,,,,,
15,4e19d464fa761946459e458d,Tony Luke's,19112,39.9068984842772,-75.16661722751272,7.5,False,1.0,$,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,4bf303f2c440c9b631740104,Campo's,19112,39.906756056655716,-75.16596918678889,7.7,False,1.0,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,5a22dc6e06fb60470b5f4ef7,Dunkin',19112,39.910216999999996,-75.186947,7.6,True,1.0,$,,,,,,,,Breakfast,,,,,,,,,,,,,,,,,,,,,,
18,4b92996af964a520710834e3,Termini Bros,19112,39.911408729162325,-75.1753421141613,8.8,True,1.0,$,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,4e73830cb993272e5231bc0b,Pastificio,19112,39.911403961878875,-75.17500198221143,8.2,True,1.0,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,4adb9f66f964a5207a2921e3,Celebre's,19112,39.91160681403437,-75.17521149640358,7.6,True,1.0,$,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,4bbe86f0ba9776b09de9fdc8,Popi's Restaurant,19112,39.91167832805587,-75.18256780489956,7.1,False,3.0,$$$,Yes (incl. Discover & Visa),Yes,,,,,,,Yes,Happy Hour,Full Bar,Cocktails,,,,,,,,,,,,,,,,,,
22,4a90dacff964a5209f1920e3,Penrose Diner,19112,39.912320306606055,-75.18299451040096,8.1,True,1.0,$,Yes (incl. Discover & Visa),No,No,Brunch,Dinner,Lunch,,Breakfast,,,Full Bar,Cocktails,,,,,,,,,,,,,,,,,,
23,4b01e73cf964a520664622e3,Talk Of The Town,19112,39.912665302241344,-75.17276604953547,6.3,False,1.0,$,Yes (incl. American Express),No,,Brunch,Dinner,Lunch,,Breakfast,,,,,,,,,,,,,,,,,,,,,,
24,4c784d5f3badb1f75d684b54,Samuels & Sons Seafood Co.,19112,39.90412669396587,-75.1589404835358,7.5,False,1.0,$,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,4ca0ceea8afca0930b011616,T&N Sandwich Shoppe,19112,39.914402,-75.178126,7.9,False,1.0,$,,,,,,,,Breakfast,,,,,,,,,,,,,,,,,,,,,,
