,Zip Code,Venue ID,Venue Name,Venue Category,Venue Lat,Venue Long
64,19103,4b85f3ebf964a5203f7b31e3,Monde Market,Deli / Bodega,39.951885,-75.175705
65,19103,585d42d8d8b0ed6559c09575,Veda - Modern Indian Bistro,Indian Restaurant,39.951967284421684,-75.17286222662219
66,19103,5682c508498e3605c7e9c46f,Revolution Taco,Taco Place,39.95056391867184,-75.17436041024814
67,19103,4a91d03af964a520f21b20e3,Day By Day,Diner,39.95165717933954,-75.1756397694644
68,19103,4d067fc230a58cfa1a44abe7,The Dandelion,English Restaurant,39.951038522168545,-75.17068929970264
69,19103,59f7b84fdd70c521eca6ed54,The Love.,New American Restaurant,39.95077944503111,-75.17090857028961
70,19103,4b28fc2cf964a520f79624e3,Zama,Japanese Restaurant,39.95089666989317,-75.17215583442001
71,19103,566acc9a38fa094e8ccca211,Urban Farmer,Steakhouse,39.9569948680541,-75.16994825395014
72,19103,5d37b7cbbb874e00089f1542,JG SkyHigh,Restaurant,39.955001,-75.170112
73,19103,5d3cf312e578bd00079617e8,Vernick Fish,Seafood Restaurant,39.955296,-75.170268
74,19103,4acaa9d7f964a520c3c220e3,Old Nelson Food Company,Deli / Bodega,39.95212990211835,-75.17362024829075
75,19103,4f3711dce4b0f4cfde418e58,Machi Sushi,Sushi Restaurant,39.94997897040319,-75.17384924645701
76,19103,53b1599f498e3f6a673be045,Matt & Marie's Logan Square,Sandwich Place,39.955486797283335,-75.16935069111153
77,19103,410d8400f964a520bc0b1fe3,The Continental Mid-Town,New American Restaurant,39.951863038908336,-75.17046064138412
78,19103,4f4538767b0c7631fb86e7cd,Tsuki Sushi,Sushi Restaurant,39.95096677234398,-75.17717775450005
79,19103,50eeec19e4b0e0a4d6b3ed5b,Mac Mart,Mac & Cheese Joint,39.95151586077988,-75.17036446792518
80,19103,4a8f3e66f964a520851420e3,Erawan Thai Cuisine,Thai Restaurant,39.95175967423992,-75.17835023927651
81,19103,55ce74fd498ed9ad43c91550,Misconduct Tavern,American Restaurant,39.95419775900008,-75.16992476701814
82,19103,508189e1e4b06d3819bb4c9d,Sotto,Italian Restaurant,39.95140884611769,-75.17958365184448
83,19103,5963c736f2905e202cc07f2a,Just Salad,Salad Place,39.95173321118201,-75.16986045965193
84,19103,4ac68b68f964a520fcb420e3,Caffe Casta Diva,Italian Restaurant,39.94969025065493,-75.17395924809335
85,19103,4b3bcdb1f964a5207e7b25e3,Locust Deli,Deli / Bodega,39.949833878267896,-75.17594444538844
86,19103,4bcf21560adfb713c213af55,Magic Carpet Foods,Food Truck,39.955512461376436,-75.18199179350881
87,19103,5a591430dab4b1392345b189,Pret A Manger,Sandwich Place,39.95548803986048,-75.18213220640796
