,Zip,ID,Name,Category,Lat,Long
339,19138,4ebd9e5cbe7b04923b6d0cd4,Popeyes Louisiana Kitchen,Fried Chicken Joint,40.06761394485312,-75.15067028747951
340,19138,4ebac03e77c8100292b7fa3a,Peter's Chicken & Seafood,American Restaurant,40.06765559689135,-75.15055627605689
341,19138,4b9fbcd9f964a5200d3a37e3,Dunkin',Donut Shop,40.0434663,-75.1593686
342,19138,4c03e3ccf423a59396ccd016,In and Out Pizza,American Restaurant,40.070035,-75.157588
343,19138,4cb716a586e09eb0bdac62e2,Dunkin',Donut Shop,40.05432892444655,-75.14185953510207
344,19138,4b9faf04f964a520a43437e3,Pagano's Steaks,American Restaurant,40.07051500675487,-75.15728228084352
345,19138,4e34484ba8092599edf83474,Pizza Point,Pizza Place,40.05239907499958,-75.14164602813425
346,19138,545d6154498ed2afb80f7507,Takka Grille & Shrimpies,Seafood Restaurant,40.06755447387695,-75.14724731445312
347,19138,4e2843a21f6e88a154601cc5,Sunnyside Breakfast,Breakfast Spot,40.070978000000004,-75.157788
348,19139,4e5a3552a8098920b3c86730,Sunnyside Breakfast,Breakfast Spot,39.96241080452015,-75.24004681911573
349,19139,4e4462b0ae605a14b7e65b29,Graces Chinese,Chinese Restaurant,39.966862,-75.239936
350,19139,4ff4c1cfe4b0734a79a330ad,Pete's Pizza,Pizza Place,39.958773,-75.241209
351,19139,4cd4b6b676ab721e9dfe686a,Hyons 56th & Spruce St,Seafood Restaurant,39.955639260977534,-75.2339562741029
352,19139,4f04f55061af9d3db85ba580,Rodriguez Grocery,Deli / Bodega,39.96959461814268,-75.2340018544075
353,19139,4dde6d5988779c82bec3e9eb,GiGi's Soul Food,Southern / Soul Food Restaurant,39.969706678160954,-75.23890330121696
354,19139,503cbc88e4b00cfc74e6623a,Sunny's Breakfast,Breakfast Spot,39.960934,-75.224933
355,19139,4d9c86adc593a1cda5eb4a19,Top Taste,Caribbean Restaurant,39.96131526007094,-75.22467979530762
356,19139,4ca0c7d1d3c2b60c7f25e0bc,Yummy Diner,Breakfast Spot,39.96107029951289,-75.22467552739019
357,19139,4ccda48f97d0224bda6a67b8,Just To Serve You,Southern / Soul Food Restaurant,39.97055204334754,-75.23336161172071
358,19139,4c6d242b6af58cfa0b8b8817,52nd St Station Diner,Breakfast Spot,39.959695592791434,-75.22498104168608
359,19139,4c37728cae2da593b6e5fec5,Lebel's Pizza,Pizza Place,39.970892,-75.23275600000001
360,19139,4e5ebaeb62e1624313daec52,Little Caesars Pizza,Pizza Place,39.95714314001769,-75.22611886945822
361,19139,4bf2f76198ac0f47275962a8,West Point Pizza,Pizza Place,39.965879,-75.245763
362,19139,4bf2aa869319a593a530cb51,Brown Sugar Bakery & Cafe,Caribbean Restaurant,39.956472693718695,-75.22550884791522
363,19139,4cb716be86e09eb0f9ac62e2,Dunkin',Donut Shop,39.96952036219449,-75.24573189466315
364,19139,4ca3f2a4d5a2a1439d084e90,Bottom Of The Sea,Seafood Restaurant,39.953742999999996,-75.225974
365,19139,4dbc4328f7b1ab37dd59b09c,Poppies,Spanish Restaurant,39.95196612244941,-75.24096408349162
366,19139,52163f8911d2b508c3f9ea29,Tasties Kitchen,Southern / Soul Food Restaurant,39.97178926514143,-75.22596706325548
367,19139,4def9dfec65bf3f03e9a927a,LR Food Market,Deli / Bodega,39.971618,-75.225592
368,19139,4c585dce744a0f47c21acbcb,Super House,Chinese Restaurant,39.973847154764535,-75.22919426758997
369,19139,4bf51aa6706e20a13405aa98,A&A Steaks,Fried Chicken Joint,39.97211729723788,-75.24510570119138
370,19139,4d8a1f1726a36ea8d7daedad,Moo Jin Jang,Korean Restaurant,39.96283130420638,-75.25188507470128
371,19139,4ef4d930b8f77e0f98572bfa,Lopez Grocery,Deli / Bodega,39.9510234512975,-75.24312311013543
372,19139,544b020f498ee0bc25842969,48th Street Grille,Caribbean Restaurant,39.95319717197854,-75.21837079920277
373,19139,4c6704898e9120a118a7d964,Annie's Seafood,Seafood Restaurant,39.971946,-75.251552
374,19139,573e195f498ecf8376d3df35,Alaskan King Crabs,Seafood Restaurant,39.973061,-75.218987
375,19139,4cb716b086e09eb0d4ac62e2,Dunkin',Donut Shop,39.977260752444444,-75.22607368890283
376,19139,4be2e4f31dd22d7fa41095bd,Atlas Pizza & Steaks,Pizza Place,39.947097,-75.227939
377,19139,4e1c339052b1218fa01a4236,Mama's Breakfast Lunch,Breakfast Spot,39.94654898582956,-75.23967079612842
378,19150,4d67e4d15b376dcbc9d67167,Royal's Restaurant,Caribbean Restaurant,40.071739214955784,-75.16117996165909
379,19150,4d55d2cd9e508cfaa017059b,Talk of the town,Deli / Bodega,40.071920436696686,-75.16115263331842
380,19150,4bffbd4eca1920a1c42ded81,Breakfast Junction,Breakfast Spot,40.07965950702207,-75.17354940830631
381,19150,4b6b14bdf964a52074f12be3,Green Garden,Chinese Restaurant,40.080227018284766,-75.17291623474956
382,19150,4cc5b56ab2beb1f7b153244c,Philly Pretzel Factory,Restaurant,40.08039020876204,-75.17292052831101
383,19150,55eccb57498eda28010c8066,Little Caesars Pizza,Pizza Place,40.080457,-75.173105
384,19150,4d2260d68629224bd6e42287,Church's Chicken,Fried Chicken Joint,40.08026165477755,-75.16701266598467
385,19150,4d5f00299f67f04db04167fb,Bally's II Pizza,Pizza Place,40.072639,-75.157638
386,19150,4ce97e2af8653704ca5bb7c4,Popeyes Louisiana Kitchen,Fried Chicken Joint,40.08102099674863,-75.17084656921449
387,19150,4cb716c386e09eb002ad62e2,Dunkin',Donut Shop,40.08123026428102,-75.17124808011397
388,19150,4b454cf0f964a520310a26e3,SUBWAY,Sandwich Place,40.081592882705046,-75.16843397847452
389,19150,4ed6a84f77c86e4f2a9b9d5c,Fresca Pizza,Pizza Place,40.08201003000913,-75.17095014915186
390,19150,4cb49026b4b0a35d4b3768ce,Chick-fil-A,Fried Chicken Joint,40.0728072,-75.1550828
391,19150,4dab32305da3ba8a479bedf7,Auntie Anne's,Snack Place,40.07439742256465,-75.1552705794892
392,19150,5b3f8e2dd1a402002c040954,Chipotle Mexican Grill,Mexican Restaurant,40.07355,-75.154918
393,19150,4cec5b767b94370470382053,Church's Chicken,Fried Chicken Joint,40.07350625,-75.1548698
394,19150,5b731804f193c0002c5b694a,Panda Express,Chinese Restaurant,40.07490539550781,-75.15485382080078
395,19151,4c51cc4a94790f475678a9a1,Rice & Things,American Restaurant,39.97481739249177,-75.26132977780073
396,19151,4c47168089a6c9b64b059988,Stacy's Pizza,Pizza Place,39.976551,-75.264761
397,19151,4e4e65ffbd4101d0d7a94851,Danny's Express,Chinese Restaurant,39.96231429751416,-75.26207675632529
398,19151,4c3f60fcce54e21ee4f7071a,Philly Pretzel Factory,Snack Place,39.96224668082394,-75.25921030451403
